"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 05 17:39:20 GMT 2024","Tue Nov 05 17:39:27 GMT 2024","6256","firefox","example.spec.ts","","","","get started link",""
"failed","Tue Nov 05 17:38:57 GMT 2024","Tue Nov 05 17:39:03 GMT 2024","5349","chromium","example.spec.ts","","","","get started link",""
"failed","Tue Nov 05 17:39:43 GMT 2024","Tue Nov 05 17:39:49 GMT 2024","5846","webkit","example.spec.ts","","","","get started link",""
"passed","Tue Nov 05 17:39:03 GMT 2024","Tue Nov 05 17:39:04 GMT 2024","1274","firefox","example.spec.ts","","","","has title",""
"passed","Tue Nov 05 17:38:45 GMT 2024","Tue Nov 05 17:38:45 GMT 2024","376","chromium","example.spec.ts","","","","has title",""
"passed","Tue Nov 05 17:39:28 GMT 2024","Tue Nov 05 17:39:29 GMT 2024","745","webkit","example.spec.ts","","","","has title",""
