"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 18:10:38 GMT 2024","Tue Nov 05 18:10:38 GMT 2024","596","chromium","example.spec.ts","","","","has title",""
"passed","Tue Nov 05 18:10:39 GMT 2024","Tue Nov 05 18:10:41 GMT 2024","1186","firefox","example.spec.ts","","","","has title",""
"passed","Tue Nov 05 18:10:44 GMT 2024","Tue Nov 05 18:10:45 GMT 2024","984","webkit","example.spec.ts","","","","get started link",""
"passed","Tue Nov 05 18:10:39 GMT 2024","Tue Nov 05 18:10:39 GMT 2024","325","chromium","example.spec.ts","","","","get started link",""
"passed","Tue Nov 05 18:10:41 GMT 2024","Tue Nov 05 18:10:42 GMT 2024","622","firefox","example.spec.ts","","","","get started link",""
"passed","Tue Nov 05 18:10:43 GMT 2024","Tue Nov 05 18:10:43 GMT 2024","893","webkit","example.spec.ts","","","","has title",""
